arrival_month_date,ed_visits,avg_ed_los_minutes,pct_long_stay
1950-01-01 00:00:00+00:00,1,154.0,0.0
1960-05-01 00:00:00+00:00,1,130.0,0.0
1965-04-01 00:00:00+00:00,1,60.0,0.0
1968-11-01 00:00:00+00:00,1,60.0,0.0
1969-01-01 00:00:00+00:00,1,127.0,0.0
1969-11-01 00:00:00+00:00,1,60.0,0.0
1969-12-01 00:00:00+00:00,2,60.0,0.0
1970-01-01 00:00:00+00:00,2,60.0,0.0
1970-02-01 00:00:00+00:00,1,60.0,0.0
1970-10-01 00:00:00+00:00,1,60.0,0.0
1974-05-01 00:00:00+00:00,2,68.0,0.0
1976-12-01 00:00:00+00:00,1,23010.0,100.0
1984-02-01 00:00:00+00:00,1,62.0,0.0
1989-06-01 00:00:00+00:00,1,60.0,0.0
1990-02-01 00:00:00+00:00,2,60.0,0.0
1990-03-01 00:00:00+00:00,2,60.0,0.0
1990-06-01 00:00:00+00:00,2,60.0,0.0
1990-07-01 00:00:00+00:00,1,60.0,0.0
1990-08-01 00:00:00+00:00,2,60.0,0.0
1990-10-01 00:00:00+00:00,1,60.0,0.0
1990-12-01 00:00:00+00:00,1,60.0,0.0
1991-04-01 00:00:00+00:00,1,60.0,0.0
1991-06-01 00:00:00+00:00,1,60.0,0.0
1991-07-01 00:00:00+00:00,2,60.0,0.0
1992-12-01 00:00:00+00:00,1,180.0,0.0
1993-01-01 00:00:00+00:00,1,60.0,0.0
1993-05-01 00:00:00+00:00,1,1500.0,100.0
1995-12-01 00:00:00+00:00,1,60.0,0.0
1996-07-01 00:00:00+00:00,1,60.0,0.0
1996-10-01 00:00:00+00:00,1,60.0,0.0
1997-06-01 00:00:00+00:00,1,540.0,100.0
1999-01-01 00:00:00+00:00,1,5220.0,100.0
1999-04-01 00:00:00+00:00,1,840.0,100.0
2001-03-01 00:00:00+00:00,1,9600.0,100.0
2001-10-01 00:00:00+00:00,1,2460.0,100.0
2002-08-01 00:00:00+00:00,2,11415.0,50.0
2004-06-01 00:00:00+00:00,1,60.0,0.0
2004-08-01 00:00:00+00:00,1,60.0,0.0
2004-11-01 00:00:00+00:00,1,72.0,0.0
2005-05-01 00:00:00+00:00,1,60.0,0.0
2005-06-01 00:00:00+00:00,1,60.0,0.0
2005-08-01 00:00:00+00:00,1,60.0,0.0
2005-10-01 00:00:00+00:00,1,120.0,0.0
2006-07-01 00:00:00+00:00,1,60.0,0.0
2007-06-01 00:00:00+00:00,1,60.0,0.0
2008-02-01 00:00:00+00:00,1,60.0,0.0
2008-05-01 00:00:00+00:00,1,60.0,0.0
2008-07-01 00:00:00+00:00,1,180.0,0.0
2008-12-01 00:00:00+00:00,1,240.0,0.0
2009-08-01 00:00:00+00:00,1,60.0,0.0
2009-09-01 00:00:00+00:00,1,60.0,0.0
2009-12-01 00:00:00+00:00,1,7920.0,100.0
2010-09-01 00:00:00+00:00,1,300.0,100.0
2011-11-01 00:00:00+00:00,1,120.0,0.0
2013-06-01 00:00:00+00:00,1,60.0,0.0
2014-04-01 00:00:00+00:00,1,60.0,0.0
2014-06-01 00:00:00+00:00,2,60.0,0.0
2014-07-01 00:00:00+00:00,1,60.0,0.0
2014-10-01 00:00:00+00:00,1,60.0,0.0
